epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.6726,1.06173,3.03772,1.4318,0.00376,1,0.45437,0.31318,0.7055,3.44098,1.24233,0.0001429,0.0001429,0.0001429
2,171.86,0.86539,2.22853,1.29756,0.72737,0.293,0.625,0.45938,0.74209,3.10073,1.20557,0.000294148,0.000294148,0.000294148
3,246.601,0.84781,1.8201,1.235,0.00374,0.99502,0.62326,0.44794,0.84951,3.0829,1.30928,0.000439172,0.000439172,0.000439172
4,317.562,0.94074,1.75353,1.32697,0.90744,0.29314,0.67617,0.43394,1.11145,2.96476,1.55047,0.00057797,0.00057797,0.00057797
5,389.859,0.92281,1.58401,1.31748,0.82312,0.64167,0.8452,0.61016,0.97402,2.35988,1.46337,0.000710545,0.000710545,0.000710545
6,462.976,0.92071,1.49091,1.26221,0.66342,0.69418,0.80823,0.58873,1.04004,2.34637,1.54474,0.000836894,0.000836894,0.000836894
7,539.682,0.97246,1.56663,1.31205,0.56679,0.70439,0.70931,0.36488,1.35958,2.65823,1.99529,0.000957018,0.000957018,0.000957018
8,617.757,0.95667,1.48813,1.29427,0.75448,0.75841,0.84287,0.51818,1.15745,2.13087,1.95476,0.00107092,0.00107092,0.00107092
9,691.68,0.92206,1.38246,1.29125,0.82362,0.77361,0.86368,0.49522,1.15353,2.19735,1.76689,0.00117859,0.00117859,0.00117859
10,763.27,0.91667,1.35261,1.24848,0.7826,0.42841,0.56916,0.37843,1.30233,3.15954,1.85828,0.00117435,0.00117435,0.00117435
11,836.583,0.91872,1.2754,1.26456,0.61448,0.77335,0.76446,0.54201,0.9297,2.231,1.35573,0.00114606,0.00114606,0.00114606
12,909.67,0.89855,1.21871,1.21826,0.71867,0.75161,0.80625,0.50736,1.06721,2.18939,1.54527,0.00111776,0.00111776,0.00111776
13,981.723,0.88409,1.19101,1.20762,0.73593,0.6905,0.77609,0.49264,1.02782,2.10941,1.48509,0.00108947,0.00108947,0.00108947
14,1053.25,0.88517,1.14661,1.23175,0.69551,0.7727,0.85464,0.57418,1.03463,1.79592,1.48727,0.00106118,0.00106118,0.00106118
15,1125.78,0.9082,1.11241,1.20409,0.74867,0.76565,0.84552,0.62614,0.89402,1.5014,1.41503,0.00103288,0.00103288,0.00103288
16,1197.03,0.8902,1.16909,1.2377,0.87682,0.84752,0.92006,0.65014,0.86794,1.48101,1.32955,0.00100459,0.00100459,0.00100459
17,1267.65,0.87851,1.1618,1.21295,0.88983,0.85948,0.93211,0.63953,0.96852,1.4556,1.41206,0.000976293,0.000976293,0.000976293
18,1338.47,0.88113,1.10048,1.22854,0.72229,0.88357,0.85458,0.61071,0.91043,1.69776,1.36701,0.000947999,0.000947999,0.000947999
19,1409.44,0.81648,1.02042,1.18013,0.79597,0.89431,0.90812,0.68303,0.8312,1.71119,1.24325,0.000919704,0.000919704,0.000919704
20,1481.61,0.78926,1.01349,1.17842,0.84702,0.9094,0.9368,0.76491,0.76757,1.23753,1.18263,0.00089141,0.00089141,0.00089141
21,1552.49,0.78454,1.00774,1.16066,0.89352,0.91151,0.95437,0.76922,0.79442,1.13879,1.22785,0.000863116,0.000863116,0.000863116
22,1623.46,0.73649,0.87604,1.12679,0.93162,0.8808,0.97456,0.79742,0.69496,1.05328,1.16626,0.000834822,0.000834822,0.000834822
23,1695.11,0.75429,0.89201,1.1609,0.92339,0.96962,0.97039,0.78401,0.71439,0.94456,1.1443,0.000806528,0.000806528,0.000806528
24,1769.34,0.75683,0.87894,1.17077,0.92379,0.96812,0.97418,0.79353,0.69779,0.94685,1.12089,0.000778233,0.000778233,0.000778233
25,1842.61,0.77005,0.9042,1.16452,0.95006,0.96168,0.9806,0.83198,0.64096,0.93889,1.09482,0.000749939,0.000749939,0.000749939
26,1913.73,0.7642,0.89539,1.13222,0.91008,0.96479,0.98069,0.8183,0.67526,0.92019,1.10817,0.000721645,0.000721645,0.000721645
